"country";"city";"place"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Armentia"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Ali"
"ES";"Álava";"Ehari"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Abetxuko"
"ES";"Álava";"Arriaga"
"ES";"Álava";"Betoño Industrialdea"
"ES";"Álava";"Gamarra Mayor"
"ES";"Álava";"Gamarra Nagusia"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Vitoria-Gasteiz"
"ES";"Álava";"Centro Militar Araka"
"ES";"Álava";"Campezo"
"ES";"Álava";"Kanpezu"
"ES";"Álava";"Santa Cruz de Campezo"
"ES";"Álava";"Santikurutze Kanpezu"
"ES";"Álava";"Alda"
"ES";"Álava";"Done Bikendi Harana"
"ES";"Álava";"Harana"
"ES";"Álava";"Kontrasta"
"ES";"Álava";"Orbiso"
"ES";"Álava";"Oteo"
"ES";"Álava";"San Vicente de Arana"
"ES";"Álava";"Ullibarri-Arana"
"ES";"Álava";"Uribarri-Harana"
"ES";"Álava";"Valle de Arana"
"ES";"Álava";"Angostina"
"ES";"Álava";"Bernedo"
"ES";"Álava";"Lagrán"
"ES";"Álava";"Navarrete"
"ES";"Álava";"Urturi"
"ES";"Álava";"Villafría"
"ES";"Álava";"Villaverde"
"ES";"Álava";"Arraia-Maeztu"
"ES";"Álava";"Maestu"
"ES";"Álava";"Antoñana"
"ES";"Álava";"Atauri"
"ES";"Álava";"Azazeta"
"ES";"Álava";"Berrozi"
"ES";"Álava";"Bujanda"
"ES";"Álava";"Durruma Kanpezu"
"ES";"Álava";"Kintana"
"ES";"Álava";"San Román de Campezo"
"ES";"Álava";"Aletxa"
"ES";"Álava";"Apellániz"
"ES";"Álava";"Apinaniz"
"ES";"Álava";"Areatza"
"ES";"Álava";"Arenaza"
"ES";"Álava";"Birgara Barren"
"ES";"Álava";"Birgara Goien"
"ES";"Álava";"Cicujano"
"ES";"Álava";"Elortza"
"ES";"Álava";"Erroeta"
"ES";"Álava";"Erroitegi"
"ES";"Álava";"Ibisate"
"ES";"Álava";"Korres"
"ES";"Álava";"Leorza"
"ES";"Álava";"Musitu"
"ES";"Álava";"Onraita"
"ES";"Álava";"Róitegui"
"ES";"Álava";"Sabando"
"ES";"Álava";"Vírgala Mayor"
"ES";"Álava";"Virgala Menor"
"ES";"Álava";"Zekuiano"
"ES";"Álava";"Murguía"
"ES";"Álava";"Zuia"
"ES";"Álava";"Acosta"
"ES";"Álava";"Apodaka"
"ES";"Álava";"Berrikano"
"ES";"Álava";"Buruaga"
"ES";"Álava";"Eribe"
"ES";"Álava";"Etxaguen"
"ES";"Álava";"Gopegi"
"ES";"Álava";"Larrinoa"
"ES";"Álava";"Letona"
"ES";"Álava";"Manurga"
"ES";"Álava";"Múrua"
"ES";"Álava";"Okoizta"
"ES";"Álava";"Olano"
"ES";"Álava";"Ondategi"
"ES";"Álava";"Zaitegi"
"ES";"Álava";"Zestafe"
"ES";"Álava";"Zigoitia"
"ES";"Álava";"Altube"
"ES";"Álava";"Ametzaga"
"ES";"Álava";"Aperregi"
"ES";"Álava";"Bitoriano"
