id;cp;country;place;state;city;city_iso;latitude;longitude
"1";"01001";"ES";"Vitoria-Gasteiz";"País Vasco";"Álava";"VI";"42.848016230";"-2.673606010"
"2";"01002";"ES";"Vitoria-Gasteiz";"País Vasco";"Álava";"VI";"42.854767270";"-2.664396070"
"3";"01003";"ES";"Vitoria-Gasteiz";"País Vasco";"Álava";"VI";"42.848026880";"-2.662551600"
"4";"01004";"ES";"Vitoria-Gasteiz";"País Vasco";"Álava";"VI";"42.843982470";"-2.664412010"
"5";"01005";"ES";"Vitoria-Gasteiz";"País Vasco";"Álava";"VI";"42.843380360";"-2.673605640"
"6";"01006";"ES";"Vitoria-Gasteiz";"País Vasco";"Álava";"VI";"42.831835290";"-2.666237190"
"7";"01007";"ES";"Armentia";"País Vasco";"Álava";"VI";"42.831267900";"-2.701888940"
"8";"01007";"ES";"Vitoria-Gasteiz";"País Vasco";"Álava";"VI";"42.834537730";"-2.686502360"
"9";"01008";"ES";"Vitoria-Gasteiz";"País Vasco";"Álava";"VI";"42.848006870";"-2.684660360"
"10";"01009";"ES";"Vitoria-Gasteiz";"País Vasco";"Álava";"VI";"42.858816370";"-2.686501020"
"11";"01010";"ES";"Ali";"País Vasco";"Álava";"VI";"42.853470150";"-2.699821200"
"12";"01010";"ES";"Ehari";"País Vasco";"Álava";"VI";"42.852634890";"-2.702125940"
"13";"01010";"ES";"Vitoria-Gasteiz";"País Vasco";"Álava";"VI";"42.860103640";"-2.703085220"
"14";"01012";"ES";"Vitoria-Gasteiz";"País Vasco";"Álava";"VI";"42.857481370";"-2.675451950"
"15";"01013";"ES";"Abetxuko";"País Vasco";"Álava";"VI";"42.876140190";"-2.684090700"
"16";"01013";"ES";"Arriaga";"País Vasco";"Álava";"VI";"42.866691110";"-2.666671370"
"17";"01013";"ES";"Betoño Industrialdea";"País Vasco";"Álava";"VI";"42.861767960";"-2.654772410"
"18";"01013";"ES";"Gamarra Mayor";"País Vasco";"Álava";"VI";"42.877663600";"-2.658080880"
"19";"01013";"ES";"Gamarra Nagusia";"País Vasco";"Álava";"VI";"42.877636630";"-2.658079210"
"20";"01013";"ES";"Vitoria-Gasteiz";"País Vasco";"Álava";"VI";"42.866870740";"-2.666046290"
